Name,Latitude,Longitude,Prefecture,Region,Priority,ColorGroup,Description
Fukuoka,33.5904,130.4017,Fukuoka,E,★★,09 Fukuoka,"Hakata tonkotsu ramen birthplace (Ichiran/Ippudo); underrated city, fewer crowds + cheaper hotels than Tokyo/Kyoto/Osaka. From sponsored city-hype video."
Takasumi Shrine,33.4840463,130.9329879,Fukuoka,E,★★,09 Fukuoka,"Mystical shrine at ~800m on the slopes of Mt. Hiko, Fukuoka — above-the-clouds scenery, magical in rain/mist. Featured in a DJI Pocket 4 cinematic video."
Mizonokuchi Shrine / Mizonochi Cave,31.911,131.4239,Miyazaki,F,★★,13 Miyazaki,Shrine / Cave – Cave shrine with stalactites; associated with water deities; scenic walking trails
Cheonan Kawara / Amano Iwato Cave,32.708,131.3045,Miyazaki,F,★★,13 Miyazaki,Cave / Mythological site – Amano Iwato (Heavenly Rock Cave) where Amaterasu hid; nearby Cheonan Kawara rock formations
Takachino Gorge,32.73,131.33,Miyazaki,F,★★★★,13 Miyazaki,"Gorge / Scenic spot – Verdant gorge with walking trails and waterfalls, popular for autumn colours"
Udo Shrine,31.56,131.425,Miyazaki,F,★★,13 Miyazaki,"Shrine / Coastal cave – Unique shrine built inside a cave facing the ocean, dedicated to Yamasachihiko"
Amanoyasukawara (Amano Iwato area),32.708,131.3045,Miyazaki,F,★★,13 Miyazaki,Miyazaki Prefecture (Takachiho) – Mythological site / Plain – Sacred plain before Amano Iwato cave where the gods gathered to lure Amaterasu out
Kagoshima,31.5601,130.558,Kagoshima,F,★★,14 Kagoshima,"Southern Kyushu city known for Sakurajima volcano, Satsuma cuisine, and historic sites like Sengan‑en"
Kirishima Shrine,31.9028,130.8626,Kagoshima,F,★★,14 Kagoshima,"Shrine – Ancient shrine surrounded by forest and volcanic landscape, part of the Kirishima‑Yaku National Park"
Ogawa Falls,30.3525,130.658,Kagoshima,F,★★,14 Kagoshima,Waterfall – Picturesque multi‑tiered waterfall in lush forest; great for hiking and photography
Yakushima Island,30.3833,130.55,Kagoshima,F,★★★★,14 Kagoshima,"Island / Natural site – UNESCO World Heritage site known for ancient cedar forests, wildlife, and hiking trails; the cedar forests inspired Princess Mononoke. Ghibli real-world spot."
Chiba Prefecture,35.6047,140.1084,Chiba,A,★★,90 Chiba,"Prefecture / Region – Prefecture east of Tokyo known for Tokyo Disney Resort, Narita Airport, and coastal scenery"
Sensō-ji Temple,35.7148,139.7967,Tokyo,A,★★,01 Tokyo,"Tokyo's oldest and most significant Buddhist temple, famous for its Kaminarimon gate and Nakamise shopping street"
Imperial Palace,35.6802215,139.7535986,Tokyo,A,★★,01 Tokyo,"Imperial residence, iconic Nijubashi double bridge"
Mandarake Nakano Broadway,35.7064,139.6659,Tokyo,A,★★,01 Tokyo,Nakano · vintage anime figure goldmine
Mandarake Shibuya,35.6596,139.6986,Tokyo,A,★★,01 Tokyo,Shibuya Udagawacho · second-hand figures
Anime-center Akihabara,35.702,139.7715,Tokyo,A,★★,01 Tokyo,Akihabara · anime shopping/arcade
Tokyo Tower,35.6586,139.7454,Tokyo,A,★★,01 Tokyo,Minato · landmark view
Meiji Shrine,35.6764,139.6993,Tokyo,A,★★,01 Tokyo,"Shibuya · shrine, forest path"
Ghibli Museum,35.6963,139.5708,Tokyo,A,★★,01 Tokyo,"Mitaka · museum, advance reservation"
Seiseki-Sakuragaoka,35.6508541,139.4470446,Tokyo,A,★★,01 Tokyo,Tokyo hillside town (Tama) that inspired Whisper of the Heart. Ghibli real-world spot.
Sayama Hills,35.7620951,139.3981823,Saitama,A,★★,90 Saitama,Saitama wooded hills that inspired My Neighbor Totoro. Ghibli real-world spot.
Aogashima Island,32.458249,139.7674692,Tokyo,A,★★,01 Tokyo,Remote volcanic island in the Izu chain; lush cliffs + turquoise water. Free to explore but need ferry/helicopter to reach. From 'Unreal places' slideshow.
Hitachi Seaside Park,36.4025276,140.5943473,Ibaraki,A,★★,90 Ibaraki,"Seasonal flower fields (blue nemophila hills); small entrance fee, best season varies. From 'Unreal places' slideshow."
Kegon Falls,36.7380094,139.5019683,Tochigi,A,★★,90 Tochigi,Nikko (Tochigi) — the real view is from the lower deck: take the underground elevator down (tunnel walk + reveal are part of it); ~$4 cash only. Top free lookout is the lesser view. Day-trip from Tokyo via Tobu Nikko Line (book direct trains 2+ wks ahead).
Shibuya Hikarie Sky Lobby,35.6591803,139.7036853,Tokyo,A,★★,01 Tokyo,Free 11F sky lobby 2 min from Shibuya station — huge-window view over Shibuya Crossing; great photos. Address: 2-21-1 Shibuya. Free Tokyo viewpoint (from Tokyo tour video).
Tower Hall Funabori Observation Tower,35.6843894,139.8649112,Tokyo,A,★★,01 Tokyo,"Free observation deck at 103m in Edogawa; hidden gem, no tourists — see Skytree, Tokyo Tower, Mt Fuji, whole city. Address: 4-1-1 Funabori. Free Tokyo viewpoint (from Tokyo tour video)."
Asakusa Culture Tourist Information Center,35.710667,139.796528,Tokyo,A,★★,01 Tokyo,"Free 8F observation terrace steps from Kaminarimon — view over Sensoji Temple + Tokyo Skytree. Address: 2-18-9 Kaminarimon, Taito. Free Tokyo viewpoint."
Kashima Jingu Shrine,35.9706555,140.6260511,Ibaraki,A,★★,90 Ibaraki,One of Japan's most important/oldest shrines — powerful otherworld atmosphere. From 'hidden wonderland' otherworld video.
Kamikochi,36.2583,137.6425,Nagano,B,★★★★,90 Nagano,Nature / Hiking (Japanese Alps) – Highland valley in the Northern Japan Alps; accessible via bus from Matsumoto or Takayama
Monet's Pond,35.543,136.891,Gifu,B,★★,90 Gifu,"Village pond (Monroe no Ike) whose clear turquoise water mirrors the sky — a real-life 'Monet's Pond', scenic and free. Best in summer/autumn."
Kegon-ji Temple,35.4437,136.7619,Gifu,B,★★,90 Gifu,Historic temple known for its beautiful garden and seasonal flowers
Shirakawa-go,36.2565,136.9064,Gifu,B,★★,90 Gifu,Village / UNESCO site – UNESCO World Heritage site featuring traditional gassho‑zukuri farmhouses
Nabana no Sato,35.0586,136.6582,Mie,B,★★,90 Mie,Flower park / Illumination – Famous for seasonal flower displays and winter illumination
Sangi Railway,34.7302,136.5083,Mie,B,★★,90 Mie,"Railway / Scenic line – Scenic local railway running through Mie, popular for autumn views"
Kumano Fireworks Festival,33.9035,136.0408,Mie,B,★★,90 Mie,"Annual fireworks display over the Kumano River, held in summer (check dates)"
Narai-juku (Narai Post Town),35.8225,137.7269,Nagano,B,★★,90 Nagano,"Nagano Prefecture (Kiso Valley) – Town / Historic post town – Well‑preserved Edo‑period post town along the Nakasendo, known for its traditional wooden buildings"
Togakushi Shrine,36.735,138.0322,Nagano,B,★★★★,90 Nagano,"Complex of five shrines nestled in forested mountains, famous for its long avenue of cedar trees and zigzag path"
Jigokudani Monkey Park,36.7564,138.4089,Nagano,B,★★,90 Nagano,Wildlife / Snow monkeys – Famous for wild Japanese macaques bathing in hot springs during winter
Sado Island,38.05,138.3,Niigata,B,★★,90 Niigata,"Island / Cultural site – Known for its historic gold mines, traditional performing arts (Ondeko), and scenic coastline"
Taki Shrine,35.6260122,136.8598652,Gifu,B,★★,90 Gifu,"Scenic shrine, breathtaking otherworld setting (in Gifu). From 'otherworld Japan' video."
Taikodani Inari Shrine,34.4169,131.7875,Shimane,D,★★,90 Shimane,Shrine – Famous for its thousands of red torii gates leading up the mountainside
Adachi Museum of Art,35.43,133.2369,Shimane,D,★★,90 Shimane,Renowned for its Japanese garden and collection of modern Japanese paintings
Tsuwano Street / Tsuwano Old Town,34.4169,131.7875,Shimane,D,★★,90 Shimane,"Town / Historic district – Preserved Edo‑period atmosphere with traditional houses, sake breweries, and the Taikodani Inari approach"
Tottori Sand Dunes,35.5039,134.2314,Tottori,D,★★,90 Tottori,"Natural landmark / Sand dunes – Japan's largest sand dunes, featuring camel rides, sand sculptures, and coastal views"
Nagoro Scarecrow Village,33.8425,133.9375,Tokushima,Z,★,90 Tokushima,Village known for its many life‑sized scarecrow dolls placed around the depopulated area
Mount Yotel (Mount Yotei),42.8735,140.8039,Hokkaido,Z,★,90 Hokkaido,"Mountain / Volcanic – Also known as Mount Yotei, popular for skiing and autumn hiking; located near Niseko"
Yamadera Temple,38.259,140.3635,Yamagata,Z,★,90 Yamagata,"Temple – Also known as Risshaku‑ji, famous for its stone steps and panoramic mountain views"
Dogo Onsen,33.8504258,132.7850817,Ehime,Z,★,90 Ehime,"Matsuyama, Ehime — oldest hot spring in Japan; inspired Spirited Away bathhouse. Ghibli real-world spot (off-mainland detour)."
Ginzan Onsen,38.5704194,140.5300687,Yamagata,Z,★,90 Yamagata,"Charming traditional hot-spring town, magical in winter; walking free, baths have entrance fee. From 'Unreal places' slideshow."
Oirase Gorge,40.525278,140.9745,Aomori,Z,★,90 Aomori,"Scenic 14km stream valley from Lake Towada; free walking trail, lush forest and waterfalls. From 'Unreal places' slideshow."
Takaragawa Onsen Osenkaku,36.8479555,139.0468165,Gunma,Z,★,90 Gunma,Gunma riverside onsen (Minakami) — outdoor mixed rotenburo pools along a river in a misty forest; steam + traditional wooden buildings. From 'wake up to soft rain' onsen video.
Tarumizu Ruins,38.3179329,140.4431732,Yamagata,Z,★,90 Yamagata,"Hidden otherworldly ruins next to Yamadera — honeycomb rock + torii, ~15 min walk off the approach path. From 'otherworld Japan' video."
Eiheiji Temple,36.0557075,136.3560152,Fukui,Z,★,90 Fukui,Famous Soto Zen head temple in Fukui — forest setting. From 'hidden wonderland' otherworld video.
Sannobo Hie Shrine,41.06658,140.3678921,Aomori,Z,★,90 Aomori,Hie/Hiyoshi shrine in Aomori — otherworld forest setting. From 'hidden wonderland' otherworld video.
Kamakura,35.3192,139.5467,Kanagawa,A,★★,90 Kanagawa,"Coastal temple town south of Tokyo — Great Buddha (Daibutsu), Hase-dera, Tsuruoka Hachimangu; on clear days Fuji rises over Sagami Bay from the beach. Free to wander (Daibutsu+Hase small fees). Easy ~1h day-trip from Tokyo."
Enoshima Island,35.2994,139.4805,Kanagawa,A,★★,90 Kanagawa,"Seaside island just down the coast from Kamakura — the classic spot for Fuji-over-the-bay views; sea caves, Enoshima Shrine, sunset coast. Pairs with a Kamakura day-trip."
